id,user_message,bot_response,intent,timestamp
1,can i claim lofric origo with ndis?,"Yes, LoFric Origo is eligible under NDIS funding. Select 'NDIS Customer' during checkout.",Funding - NDIS,2025-05-17 01:34:02.455620
2,is navina covered by caps?,CAPS typically does not cover Navina. You may need to use NDIS or private pay options.,Funding - CAPS,2025-05-17 01:34:07.712282
3,what is navina mini?,Navina Mini is a bowel management product designed for self-use. It is easy to operate and suitable for most users with neurogenic bowel issues.,Product - Navina,2025-05-17 01:34:14.818177
4,which catheter should i choose for travel?,"LoFric Origo is an excellent choice for travel due to its foldable, discreet design.",General,2025-05-17 01:34:28.219262
5,where is my order?,"After checkout, you should receive a tracking email. If not received within 24 hours, please contact our Customer Care Team.",Support - Order,2025-05-17 01:34:58.519677
6,can i claim lofric origo with ndis?,"Yes, LoFric Origo is eligible under NDIS funding. Select 'NDIS Customer' during checkout.",Funding - NDIS,2025-05-17 01:46:27.465483
7,what is navina mini?,Navina Mini is a bowel management product designed for self-use. It is easy to operate and suitable for most users with neurogenic bowel issues.,Product - Navina,2025-05-17 02:31:00.041570
8,what is navina mini?,Navina Mini is a bowel management product designed for self-use. It is easy to operate and suitable for most users with neurogenic bowel issues.,Product - Navina,2025-05-17 02:31:30.464549
9,can i claim lofric origo with ndis?,"Yes, LoFric Origo is eligible under NDIS funding. Select 'NDIS Customer' during checkout.",Funding - NDIS,2025-05-17 02:33:20.050516
10,is navina covered by caps?,CAPS typically does not cover Navina. You may need to use NDIS or private pay options.,Funding - CAPS,2025-05-17 02:33:24.991029
11,what is navina mini?,Navina Mini is a bowel management product designed for self-use. It is easy to operate and suitable for most users with neurogenic bowel issues.,Product - Navina,2025-05-17 02:33:27.731689
12,can i claim lofric origo with ndis?,"Yes, LoFric Origo is eligible under NDIS funding. Select 'NDIS Customer' during checkout.",Funding - NDIS,2025-05-17 02:55:04.746579
13,is navina covered by caps?,CAPS typically does not cover Navina. You may need to use NDIS or private pay options.,Funding - CAPS,2025-05-17 02:55:07.251670
14,what is navina mini?,Navina Mini is a bowel management product designed for self-use. It is easy to operate and suitable for most users with neurogenic bowel issues.,Product - Navina,2025-05-17 02:55:09.496099
15,can i claim lofric origo with ndis?,"Yes, LoFric Origo is eligible under NDIS funding. Select 'NDIS Customer' during checkout.",Funding - NDIS,2025-05-17 03:33:10.234622
16,what is navina mini?,Navina Mini is a bowel management product designed for self-use. It is easy to operate and suitable for most users with neurogenic bowel issues.,Product - Navina,2025-05-17 03:33:16.777765
17,what is sku 42512003,"SKU 4441400 refers to LoFric Origo 40cm CH14 Tiemann. It is an instantly activated, male intermittent catheter ideal for discreet use and travel.",General,2025-05-17 04:15:14.665590
